country;2021_last_updated
China;1,447,065,329
India;1,401,310,563
United States;334,058,426
Indonesia;278,037,263
Pakistan;227,724,796
Brazil;214,832,901
Nigeria;214,507,696
Bangladesh;167,247,491
Russia;145,899,956
Mexico;131,046,075
Japan;125,802,521
Ethiopia;119,590,501
Philippines;111,913,102
Egypt;105,390,688
Vietnam;98,655,916
Turkey;85,484,777
Iran;85,627,052
Germany;83,975,691
Thailand;70,039,646
United Kingdom;68,401,087
France;65,520,147
Tanzania;62,539,416
Italy;60,320,493
South Africa;60,474,550
Kenya;55,703,607
Myanmar;55,037,700
South Korea;51,331,264
Colombia;51,504,213
Uganda;47,942,521
Spain;46,736,811
Argentina;45,847,428
Sudan;45,532,863
Algeria;45,061,896
Ukraine;43,312,073
Iraq;41,750,703
Afghanistan;40,374,668
Canada;38,261,228
Poland;37,764,461
Morocco;37,599,544
Saudi Arabia;35,659,227
Uzbekistan;34,207,969
Angola;34,566,172
Peru;33,587,011
Malaysia;33,015,425
Mozambique;32,696,683
Ghana;32,120,718
Yemen;30,882,462
Nepal;29,960,704
Venezuela;28,842,889
Madagascar;28,860,961
Cameroon;27,624,492
Ivory Coast;27,451,054
North Korea;25,950,189
Australia;25,959,987
Niger;25,677,816
Taiwan;23,877,855
Sri Lanka;21,547,096
Burkina Faso;21,847,968
Mali;21,212,426
Malawi;19,953,296
Chile;19,275,294
Romania;19,062,255
Kazakhstan;19,123,199
Zambia;19,238,117
Syria;18,646,187
Guatemala;18,446,417
Ecuador;18,033,738
Senegal;17,462,688
Netherlands;17,195,298
Cambodia;17,080,063
Chad;17,203,787
Somalia;16,634,297
Zimbabwe;15,229,891
Guinea;13,709,966
Rwanda;13,466,174
Benin;12,644,580
Burundi;12,469,663
Tunisia;12,003,225
Bolivia;11,927,124
Belgium;11,658,404
Haiti;11,623,799
South Sudan;11,493,450
Cuba;11,312,548
Dominican Republic;11,015,774
Czech Republic;10,732,960
Greece;10,340,571
Jordan;10,322,902
Azerbaijan;10,272,912
Portugal;10,150,252
Sweden;10,196,161
Honduras;10,156,097
United Arab Emirates;10,051,436
Tajikistan;9,873,338
Hungary;9,618,215
Belarus;9,438,767
Papua New Guinea;9,220,306
Austria;9,065,484
Israel;8,868,656
Switzerland;8,752,564
Serbia;8,674,489
Togo;8,596,357
Sierra Leone;8,238,113
Hong Kong;7,585,785
Laos;7,439,920
Paraguay;7,270,717
Libya;7,007,887
Bulgaria;6,866,274
Lebanon;6,752,766
Nicaragua;6,748,507
Kyrgyzstan;6,689,349
El Salvador;6,537,250
Turkmenistan;6,168,788
Singapore;5,925,135
Denmark;5,825,798
Finland;5,553,102
Norway;5,492,570
Slovakia;5,460,937
Oman;5,296,006
Palestine;5,293,440
Liberia;5,252,834
Costa Rica;5,165,346
Ireland;5,008,554
Central African Republic;4,971,922
New Zealand;4,883,704
Mauritania;4,848,828
Panama;4,420,589
Kuwait;4,366,698
Croatia;4,067,642
Moldova;4,017,984
Georgia;3,973,946
Eritrea;3,633,796
Uruguay;3,491,832
Mongolia;3,359,247
Bosnia And Herzegovina;3,251,612
Jamaica;2,980,575
Armenia;2,970,929
Qatar;2,962,425
Albania;2,869,700
Puerto Rico;2,806,918
Lithuania;2,670,680
Namibia;2,614,500
Gambia;2,528,326
Botswana;2,423,535
Gabon;2,310,507
Lesotho;2,169,209
North Macedonia;2,082,011
Slovenia;2,078,724
Guinea Bissau;2,043,512
Latvia;1,855,735
Bahrain;1,775,452
Equatorial Guinea;1,477,483
Trinidad And Tobago;1,405,746
Timor Leste;1,358,744
Estonia;1,324,323
Mauritius;1,274,295
Cyprus;1,220,541
Djibouti;1,010,377
Fiji;906,570
Reunion;905,350
Comoros;899,658
Guyana;792,481
Bhutan;784,855
Solomon Islands;714,126
Macau;663,998
Luxembourg;640,202
Montenegro;628,053
Western Sahara;620,280
Suriname;594,817
Cape Verde;565,346
Maldives;546,203
Malta;443,646
Brunei;443,903
Belize;409,224
Bahamas;399,068
Martinique;374,314
Iceland;344,646
Vanuatu;318,774
New Caledonia;289,727
Barbados;287,927
French Polynesia;283,392
Mayotte;283,394
Sao Tome And Principe;225,954
Samoa;201,011
Saint Lucia;184,831
Guam;171,041
Curacao;165,229
Kiribati;122,470
Micronesia;116,901
Grenada;113,237
Aruba;107,204
Tonga;107,407
United States Virgin Islands;104,010
Seychelles;99,124
Antigua And Barbuda;99,162
Andorra;77,355
Dominica;72,167
Cayman Islands;66,497
Bermuda;62,090
Marshall Islands;59,610
Northern Mariana Islands;57,917
Greenland;56,877
American Samoa;55,100
Saint Kitts And Nevis;53,544
Faroe Islands;49,049
Sint Maarten;43,412
Monaco;39,511
Saint Martin;39,234
Turks And Caicos Islands;39,231
Liechtenstein;38,250
San Marino;34,017
Gibraltar;33,698
Palau;18,169
Cook Islands;17,565
Anguilla;15,117
Tuvalu;11,931
Wallis And Futuna;11,094
Nauru;10,876
Saint Barthelemy;9,907
Saint Pierre And Miquelon;5,766
Montserrat;4,977
Falkland Islands;3,533
Niue;1,619
Tokelau;1,373
Vatican City;800
